Year,Facebook,YouTube,Instagram,TikTok,Twitter_X,Snapchat
2004,1,,,,,
2005,6,2,,,,
2006,12,20,,,,
2007,50,60,,,1,
2008,100,90,,,6,
2009,300,200,,,30,
2010,500,400,1,,54,
2011,800,600,15,,100,
2012,1000,800,100,,150,10
2013,1230,1000,150,,215,30
2014,1390,1000,300,,255,100
2015,1590,1300,400,,305,110
2016,1790,1500,600,,317,158
2017,2130,1500,800,,328,178
2018,2320,1800,1000,500,321,186
2019,2500,2000,1100,750,340,218
2020,2740,2200,1200,1000,353,249
2021,2910,2291,1400,1000,396,306
2022,2960,2510,1500,1200,368,347
2023,3050,2700,1650,1500,550,397
2024,3065,2530,2000,1590,557,800
2025,3070,2580,2000,1990,557,932
